id,category
412020,Single-playerSteam Achievements Full | controller supportSteam | Trading Cards Steam | Cloud Remote Play | on Phone Remote | Play on | Tablet Remote Play | on TVRequires | agreement to | a 3rd-party | EULAMetro Exodus
440900,Single-playerOnline PvPOnline | Co-opSteam Achievements Full | controller supportSteam | Trading Cards Steam | Workshop Remote Play | on Tablet Remote | Play on | TVRequires agreement | to a | 3rd-party EULAConan | Exiles EULA
236390,Single-playerMMOCross-Platform Multiplayer Steam | Achievements In-App Purchases Partial | Controller Support Remote | Play on | Phone Remote Play | on Tablet
548430,Single-playerOnline Co-opSteam | Achievements Full controller | supportSteam Trading | Cards Captions availableSteam | Cloud Remote Play | on Tablet Remote | Play on
252490,MMOOnline PvPOnline | Co-opCross-Platform Multiplayer Steam | Achievements Steam Trading | Cards Steam Workshop In-App | Purchases Valve Anti-Cheat | enabledStats Remote Play | on Tablet Requires | agreement to | a 3rd-party | EULARust EULA
971996,Online PvPShared/Split | Screen PvPOnline | Co-opShared/Split Screen | Co-opCross-Platform Multiplayer Downloadable | Content In-App Purchases
440,Cross-Platform Multiplayer Steam | Achievements Steam Trading | Cards Captions availableSteam | Workshop In-App Purchases Partial | Controller Support Valve | Anti-Cheat enabledStats Includes | level editorCommentary | availableRemote Play | on Phone Remote | Play on
976730,Single-playerOnline PvPLAN | PvPOnline Co-opLAN | Co-opSteam Achievements Full | controller supportSteam | Trading Cards Remote | Play on | Phone Remote Play | on Tablet Remote | Play on | TVRequires 3rd-Party | Account: Xbox Live Requires | agreement to | a 3rd-party | EULAHalo: The | Master Chief
945360,Online PvPLAN | PvPOnline Co-opLAN | Co-opCross-Platform Multiplayer Remote | Play on | Phone Remote Play | on Tablet
730,Steam Achievements Full | controller supportSteam | Trading Cards Steam | Workshop In-App Purchases Valve | Anti-Cheat enabledStats Remote | Play on | Phone Remote Play | on Tablet Remote | Play on
1097150,MMOOnline PvPOnline | Co-opSteam Achievements Full | controller supportIn-App | Purchases Remote Play | on Phone Remote | Play on
1158310,Single-playerOnline PvPSteam | Achievements Steam Trading | Cards Steam Workshop Steam
1085660,Single-playerOnline PvPOnline | Co-opSteam Achievements Full | controller supportIn-App | Purchases Remote Play | on Phone Remote | Play on | Tablet Remote Play | on TVRequires | agreement to | a 3rd-party | EULADestiny 2
1145360,Single-playerFull controller | supportSteam Trading | Cards Captions availableSteam | Cloud Remote Play | on Phone Remote | Play on | Tablet Remote Play | on TV
1172620,Online PvPOnline | Co-opCross-Platform Multiplayer Steam | Achievements Steam Trading | Cards In-App Purchases Partial | Controller Support Remote | Play on | Phone Remote Play | on Tablet Requires | 3rd-Party Account: Xbox | Live (Supports Linking | to Steam
359550,Single-playerOnline PvPOnline | Co-opSteam Trading | Cards In-App Purchases Partial | Controller Support Remote | Play on | Phone Remote Play | on Tablet Requires | 3rd-Party Account: Ubisoft | Account (Supports Linking | to Steam | Account)Requires agreement | to a | 3rd-party EULATom | Clancy's Rainbow | Six® Siege
570,Steam Trading | Cards Steam Workshop SteamVR | Collectibles In-App Purchases Valve | Anti-Cheat enabled
230410,Single-playerSteam Trading | Cards In-App Purchases Partial | Controller Support Remote | Play on | Phone Remote Play | on Tablet Requires | 3rd-Party Account: Warframe
306130,MMOSteam Trading | Cards Partial Controller | Support Remote Play | on Tablet Requires | 3rd-Party Account: Elder | Scrolls Online | Account (Supports Linking | to Steam
238960,Single-playerMMOOnline PvPSteam | Achievements Steam Trading | Cards In-App Purchases Remote | Play on | Tablet Requires agreement | to a | 3rd-party EULAPath | of Exile | EULA 1
397540,Single-playerOnline Co-opLAN | Co-opCross-Platform Multiplayer Steam | Achievements Full controller | supportSteam Trading | Cards Steam Cloud Remote | Play on | Phone Remote Play | on Tablet Remote | Play on | TVIncorporates 3rd-party | DRM: Denuvo | Anti-tamper5 Activations | per 24 | hours machine | activation limitRequires
1129580,Single-playerFull controller
381210,Online PvPOnline | Co-opSteam Achievements Full | controller supportSteam | Trading Cards Steam | Cloud Remote Play | on Phone Remote | Play on | Tablet Remote Play | on TVRequires | agreement to | a 3rd-party | EULADead by | Daylight EULA
1250410,Single-playerSteam Achievements Full | controller supportIn-App | Purchases Requires 3rd-Party | Account: Xbox Live 
271590,Single-playerSteam Achievements Full | controller supportRemote | Play on | Phone Remote Play | on Tablet Remote | Play on | TVRequires 3rd-Party | Account: Rockstar Games | Social Club 
39210,Single-playerMMOOnline PvPOnline | Co-opCross-Platform Multiplayer Partial | Controller Support Remote | Play on
582660,MMOOnline PvPOnline | Co-opSteam Trading | Cards In-App Purchases Partial | Controller Support Requires | 3rd-Party Account: Black | Desert Online 
412020,Single-playerSteam Achievements Full | controller supportSteam | Trading Cards Steam | Cloud Remote Play | on Phone Remote | Play on | Tablet Remote Play | on TVRequires | agreement to | a 3rd-party | EULAMetro Exodus
440900,Single-playerOnline PvPOnline | Co-opSteam Achievements Full | controller supportSteam | Trading Cards Steam | Workshop Remote Play | on Tablet Remote | Play on | TVRequires agreement | to a | 3rd-party EULAConan | Exiles EULA
236390,Single-playerMMOCross-Platform Multiplayer Steam | Achievements In-App Purchases Partial | Controller Support Remote | Play on | Phone Remote Play | on Tablet
548430,Single-playerOnline Co-opSteam | Achievements Full controller | supportSteam Trading | Cards Captions availableSteam | Cloud Remote Play | on Tablet Remote | Play on
252490,MMOOnline PvPOnline | Co-opCross-Platform Multiplayer Steam | Achievements Steam Trading | Cards Steam Workshop In-App | Purchases Valve Anti-Cheat | enabledStats Remote Play | on Tablet Requires | agreement to | a 3rd-party | EULARust EULA
971996,Online PvPShared/Split | Screen PvPOnline | Co-opShared/Split Screen | Co-opCross-Platform Multiplayer Downloadable | Content In-App Purchases
440,Cross-Platform Multiplayer Steam | Achievements Steam Trading | Cards Captions availableSteam | Workshop In-App Purchases Partial | Controller Support Valve | Anti-Cheat enabledStats Includes | level editorCommentary | availableRemote Play | on Phone Remote | Play on
976730,Single-playerOnline PvPLAN | PvPOnline Co-opLAN | Co-opSteam Achievements Full | controller supportSteam | Trading Cards Remote | Play on | Phone Remote Play | on Tablet Remote | Play on | TVRequires 3rd-Party | Account: Xbox Live Requires | agreement to | a 3rd-party | EULAHalo: The | Master Chief
1056640,Online Co-opCross-Platform | Multiplayer Steam Achievements In-App | Purchases Partial Controller | Support Requires agreement | to a | 3rd-party EULAPhantasy | Star Online | 2 EULA
1174180,Single-playerOnline PvPOnline | Co-opSteam Achievements In-App | Purchases Partial Controller | Support Remote Play | on Phone Remote | Play on | Tablet Requires 3rd-Party | Account: Rockstar Games | Social Club Requires | agreement to | a 3rd-party | EULARed Dead | Redemption 2
289070,Single-playerOnline PvPLAN | PvPShared/Split Screen | PvPCross-Platform Multiplayer Steam | Achievements Steam Trading | Cards Steam Workshop Steam | Turn Notifications Remote | Play on | Tablet Remote Play | Together Requires agreement | to a | 3rd-party EULASid | Meier's Civilization | VI EULA
386360,Steam Achievements Steam | Trading Cards Requires | 3rd-Party Account: SMITE | Account Requires agreement | to a | 3rd-party EULASMITE
1307550,Single-playerOnline Co-opLAN | Co-opPartial Controller | Support Steam Cloud Remote | Play on
582010,Single-playerSteam Achievements Steam | Trading Cards Partial | Controller Support Steam | Cloud StatsSteam Leaderboards Remote | Play on | Tablet Incorporates 3rd-party | DRM: Denuvo | Anti-tamper5 different | PC within | a day | machine activation | limitRequires agreement | to a | 3rd-party EULAMONSTER | HUNTER: WORLD
275850,Single-playerOnline PvPOnline | Co-opSteam Achievements Full | controller supportSteam | Cloud Remote Play | on Tablet Remote | Play on | TVRequires agreement | to a | 3rd-party EULANo | Man's Sky
1041720,Single-playerSteam Achievements Full | controller supportSteam | Trading Cards Steam
997070,Single-playerOnline Co-opSteam | Achievements Full controller | supportSteam Trading | Cards In-App Purchases Steam | Cloud Incorporates 3rd-party | DRM: Denuvo | Anti-tamperRequires 3rd-Party | Account: SQUARE ENIX | Members (Supports Linking | to Steam | Account)Requires agreement | to a | 3rd-party EULAMarvel's | Avengers EULA
632360,Single-playerOnline PvPOnline | Co-opFull controller | supportSteam Cloud Steam | Leaderboards Remote Play | on Phone Remote | Play on | Tablet Remote Play | on TVRequires | agreement to | a 3rd-party | EULARisk of | Rain 2
962130,Single-playerOnline Co-opFull | controller supportSteam | Trading Cards Steam | Cloud Remote Play | on Tablet Requires | 3rd-Party Account: Xbox
629760,Online PvPOnline | Co-opSteam Achievements Steam | Trading Cards Steam | Cloud Valve Anti-Cheat | enabledStats Remote Play | on Phone Remote | Play on | Tablet Requires agreement | to a | 3rd-party EULAMORDHAU
1151640,Single-playerSteam Achievements Steam
221100,Online PvPSteam | Workshop Steam Cloud Valve | Anti-Cheat enabledRequires | agreement to | a 3rd-party | EULADayZ EULA
427520,Single-playerOnline Co-opLAN | Co-opCross-Platform Multiplayer Steam | Achievements Steam Cloud Includes | level editorRemote | Play on
1222670,Single-playerSteam Trading | Cards Remote Play | on Tablet Incorporates | 3rd-party DRM: | EA on-line | activation and | Origin client | software installation | and background | use required.Requires | 3rd-Party Account: EA | Account (Supports Linking | to Steam | Account)Requires agreement | to a
1286830,MMOSteam Achievements Steam | Trading Cards In-App | Purchases Requires agreement | to a | 3rd-party EULASTAR | WARS™: The | Old Republic™
489830,Single-playerSteam Achievements Partial | Controller Support Steam | Cloud Remote Play | on Phone Remote | Play on | Tablet Requires agreement | to a | 3rd-party EULAThe | Elder Scrolls | V: Skyrim | Special Edition
1016120,Single-playerOnline PvPShared/Split | Screen PvPOnline | Co-opShared/Split Screen | Co-opSteam Achievements Full | controller supportIn-App | Purchases Steam Turn | Notifications Includes level | editorRemote Play | on Tablet Remote | Play on | TVRemote Play
346110,Single-playerMMOSteam Achievements Full | controller supportSteam | Workshop Steam Cloud Valve | Anti-Cheat enabledIncludes | level editorRemote | Play on
1206200,Single-playerOnline PvPOnline | Co-opDownloadable Content Steam | Achievements Steam Trading | Cards Steam Workshop Partial | Controller Support
526870,Single-playerOnline Co-opCross-Platform | Multiplayer Steam Cloud Remote | Play on
945360,Online PvPLAN | PvPOnline Co-opLAN | Co-opCross-Platform Multiplayer Remote | Play on | Phone Remote Play | on Tablet
730,Steam Achievements Full | controller supportSteam | Trading Cards Steam | Workshop In-App Purchases Valve | Anti-Cheat enabledStats Remote | Play on | Phone Remote Play | on Tablet Remote | Play on
1097150,MMOOnline PvPOnline | Co-opSteam Achievements Full | controller supportIn-App | Purchases Remote Play | on Phone Remote | Play on
1158310,Single-playerOnline PvPSteam | Achievements Steam Trading | Cards Steam Workshop Steam
1085660,Single-playerOnline PvPOnline | Co-opSteam Achievements Full | controller supportIn-App | Purchases Remote Play | on Phone Remote | Play on | Tablet Remote Play | on TVRequires | agreement to | a 3rd-party | EULADestiny 2
1145360,Single-playerFull controller | supportSteam Trading | Cards Captions availableSteam | Cloud Remote Play | on Phone Remote | Play on | Tablet Remote Play | on TV
1172620,Online PvPOnline | Co-opCross-Platform Multiplayer Steam | Achievements Steam Trading | Cards In-App Purchases Partial | Controller Support Remote | Play on | Phone Remote Play | on Tablet Requires | 3rd-Party Account: Xbox | Live (Supports Linking | to Steam
359550,Single-playerOnline PvPOnline | Co-opSteam Trading | Cards In-App Purchases Partial | Controller Support Remote | Play on | Phone Remote Play | on Tablet Requires | 3rd-Party Account: Ubisoft | Account (Supports Linking | to Steam | Account)Requires agreement | to a | 3rd-party EULATom | Clancy's Rainbow | Six® Siege
570,Steam Trading | Cards Steam Workshop SteamVR | Collectibles In-App Purchases Valve | Anti-Cheat enabled
230410,Single-playerSteam Trading | Cards In-App Purchases Partial | Controller Support Remote | Play on | Phone Remote Play | on Tablet Requires | 3rd-Party Account: Warframe
306130,MMOSteam Trading | Cards Partial Controller | Support Remote Play | on Tablet Requires | 3rd-Party Account: Elder | Scrolls Online | Account (Supports Linking | to Steam
238960,Single-playerMMOOnline PvPSteam | Achievements Steam Trading | Cards In-App Purchases Remote | Play on | Tablet Requires agreement | to a | 3rd-party EULAPath | of Exile | EULA 1
397540,Single-playerOnline Co-opLAN | Co-opCross-Platform Multiplayer Steam | Achievements Full controller | supportSteam Trading | Cards Steam Cloud Remote | Play on | Phone Remote Play | on Tablet Remote | Play on | TVIncorporates 3rd-party | DRM: Denuvo | Anti-tamper5 Activations | per 24 | hours machine | activation limitRequires
1129580,Single-playerFull controller
381210,Online PvPOnline | Co-opSteam Achievements Full | controller supportSteam | Trading Cards Steam | Cloud Remote Play | on Phone Remote | Play on | Tablet Remote Play | on TVRequires | agreement to | a 3rd-party | EULADead by | Daylight EULA
1250410,Single-playerSteam Achievements Full | controller supportIn-App | Purchases Requires 3rd-Party | Account: Xbox Live 
271590,Single-playerSteam Achievements Full | controller supportRemote | Play on | Phone Remote Play | on Tablet Remote | Play on | TVRequires 3rd-Party | Account: Rockstar Games | Social Club 
39210,Single-playerMMOOnline PvPOnline | Co-opCross-Platform Multiplayer Partial | Controller Support Remote | Play on
582660,MMOOnline PvPOnline | Co-opSteam Trading | Cards In-App Purchases Partial | Controller Support Requires | 3rd-Party Account: Black | Desert Online 
412020,Single-playerSteam Achievements Full | controller supportSteam | Trading Cards Steam | Cloud Remote Play | on Phone Remote | Play on | Tablet Remote Play | on TVRequires | agreement to | a 3rd-party | EULAMetro Exodus
440900,Single-playerOnline PvPOnline | Co-opSteam Achievements Full | controller supportSteam | Trading Cards Steam | Workshop Remote Play | on Tablet Remote | Play on | TVRequires agreement | to a | 3rd-party EULAConan | Exiles EULA
236390,Single-playerMMOCross-Platform Multiplayer Steam | Achievements In-App Purchases Partial | Controller Support Remote | Play on | Phone Remote Play | on Tablet
548430,Single-playerOnline Co-opSteam | Achievements Full controller | supportSteam Trading | Cards Captions availableSteam | Cloud Remote Play | on Tablet Remote | Play on
252490,MMOOnline PvPOnline | Co-opCross-Platform Multiplayer Steam | Achievements Steam Trading | Cards Steam Workshop In-App | Purchases Valve Anti-Cheat | enabledStats Remote Play | on Tablet Requires | agreement to | a 3rd-party | EULARust EULA
971996,Online PvPShared/Split | Screen PvPOnline | Co-opShared/Split Screen | Co-opCross-Platform Multiplayer Downloadable | Content In-App Purchases
440,Cross-Platform Multiplayer Steam | Achievements Steam Trading | Cards Captions availableSteam | Workshop In-App Purchases Partial | Controller Support Valve | Anti-Cheat enabledStats Includes | level editorCommentary | availableRemote Play | on Phone Remote | Play on
976730,Single-playerOnline PvPLAN | PvPOnline Co-opLAN | Co-opSteam Achievements Full | controller supportSteam | Trading Cards Remote | Play on | Phone Remote Play | on Tablet Remote | Play on | TVRequires 3rd-Party | Account: Xbox Live Requires | agreement to | a 3rd-party | EULAHalo: The | Master Chief
1056640,Online Co-opCross-Platform | Multiplayer Steam Achievements In-App | Purchases Partial Controller | Support Requires agreement | to a | 3rd-party EULAPhantasy | Star Online | 2 EULA
1174180,Single-playerOnline PvPOnline | Co-opSteam Achievements In-App | Purchases Partial Controller | Support Remote Play | on Phone Remote | Play on | Tablet Requires 3rd-Party | Account: Rockstar Games | Social Club Requires | agreement to | a 3rd-party | EULARed Dead | Redemption 2
289070,Single-playerOnline PvPLAN | PvPShared/Split Screen | PvPCross-Platform Multiplayer Steam | Achievements Steam Trading | Cards Steam Workshop Steam | Turn Notifications Remote | Play on | Tablet Remote Play | Together Requires agreement | to a | 3rd-party EULASid | Meier's Civilization | VI EULA
386360,Steam Achievements Steam | Trading Cards Requires | 3rd-Party Account: SMITE | Account Requires agreement | to a | 3rd-party EULASMITE
1307550,Single-playerOnline Co-opLAN | Co-opPartial Controller | Support Steam Cloud Remote | Play on
582010,Single-playerSteam Achievements Steam | Trading Cards Partial | Controller Support Steam | Cloud StatsSteam Leaderboards Remote | Play on | Tablet Incorporates 3rd-party | DRM: Denuvo | Anti-tamper5 different | PC within | a day | machine activation | limitRequires agreement | to a | 3rd-party EULAMONSTER | HUNTER: WORLD
275850,Single-playerOnline PvPOnline | Co-opSteam Achievements Full | controller supportSteam | Cloud Remote Play | on Tablet Remote | Play on | TVRequires agreement | to a | 3rd-party EULANo | Man's Sky
1041720,Single-playerSteam Achievements Full | controller supportSteam | Trading Cards Steam
997070,Single-playerOnline Co-opSteam | Achievements Full controller | supportSteam Trading | Cards In-App Purchases Steam | Cloud Incorporates 3rd-party | DRM: Denuvo | Anti-tamperRequires 3rd-Party | Account: SQUARE ENIX | Members (Supports Linking | to Steam | Account)Requires agreement | to a | 3rd-party EULAMarvel's | Avengers EULA
632360,Single-playerOnline PvPOnline | Co-opFull controller | supportSteam Cloud Steam | Leaderboards Remote Play | on Phone Remote | Play on | Tablet Remote Play | on TVRequires | agreement to | a 3rd-party | EULARisk of | Rain 2
962130,Single-playerOnline Co-opFull | controller supportSteam | Trading Cards Steam | Cloud Remote Play | on Tablet Requires | 3rd-Party Account: Xbox
629760,Online PvPOnline | Co-opSteam Achievements Steam | Trading Cards Steam | Cloud Valve Anti-Cheat | enabledStats Remote Play | on Phone Remote | Play on | Tablet Requires agreement | to a | 3rd-party EULAMORDHAU
1151640,Single-playerSteam Achievements Steam
221100,Online PvPSteam | Workshop Steam Cloud Valve | Anti-Cheat enabledRequires | agreement to | a 3rd-party | EULADayZ EULA
427520,Single-playerOnline Co-opLAN | Co-opCross-Platform Multiplayer Steam | Achievements Steam Cloud Includes | level editorRemote | Play on
1222670,Single-playerSteam Trading | Cards Remote Play | on Tablet Incorporates | 3rd-party DRM: | EA on-line | activation and | Origin client | software installation | and background | use required.Requires | 3rd-Party Account: EA | Account (Supports Linking | to Steam | Account)Requires agreement | to a
1286830,MMOSteam Achievements Steam | Trading Cards In-App | Purchases Requires agreement | to a | 3rd-party EULASTAR | WARS™: The | Old Republic™
489830,Single-playerSteam Achievements Partial | Controller Support Steam | Cloud Remote Play | on Phone Remote | Play on | Tablet Requires agreement | to a | 3rd-party EULAThe | Elder Scrolls | V: Skyrim | Special Edition
1016120,Single-playerOnline PvPShared/Split | Screen PvPOnline | Co-opShared/Split Screen | Co-opSteam Achievements Full | controller supportIn-App | Purchases Steam Turn | Notifications Includes level | editorRemote Play | on Tablet Remote | Play on | TVRemote Play
346110,Single-playerMMOSteam Achievements Full | controller supportSteam | Workshop Steam Cloud Valve | Anti-Cheat enabledIncludes | level editorRemote | Play on
1206200,Single-playerOnline PvPOnline | Co-opDownloadable Content Steam | Achievements Steam Trading | Cards Steam Workshop Partial | Controller Support
526870,Single-playerOnline Co-opCross-Platform | Multiplayer Steam Cloud Remote | Play on
255710,Single-playerSteam Achievements Steam | Trading Cards Steam | Workshop Partial Controller | Support Steam Cloud Includes | level editorRemote | Play on | Tablet Requires agreement | to a | 3rd-party EULACities: | Skylines EULA
431960,Steam Achievements Steam | Trading Cards Steam | Workshop Includes level
311210,Single-playerSteam Achievements Full | controller supportSteam | Trading Cards Steam | Workshop Valve Anti-Cheat | enabledSteam Leaderboards Remote | Play on | Phone Remote Play | on Tablet Remote | Play on | TVRemote Play | Together Requires agreement | to a | 3rd-party EULACall | of Duty: | Black Ops
294100,Single-playerSteam Workshop Steam | Cloud Remote Play | on Tablet Requires | agreement to | a 3rd-party | EULARim World EULA
1286350,Single-playerSteam Achievements Full | controller supportSteam
1151340,MMOOnline PvPOnline | Co-opSteam Achievements In-App | Purchases Partial Controller | Support Remote Play | on Tablet Requires | 3rd-Party Account: Bethesda.net (Supports | Linking to | Steam Account)
552990,MMOOnline PvPOnline | Co-opSteam Achievements Steam | Trading Cards In-App | Purchases Requires agreement | to a | 3rd-party EULAWorld | of Warships
594570,Single-playerOnline PvPLAN | PvPOnline Co-opLAN | Co-opSteam Achievements Steam | Trading Cards Steam | Workshop Remote Play | on Tablet Requires | agreement to | a 3rd-party | EULATotal War: | WARHAMMER II
578080,Online PvPStats Remote | Play on | Phone Remote Play | on Tablet Requires | agreement to | a 3rd-party | EULAPLAYERUNKNOWN'S BATTLEGROUNDS |  EULA
286160,Single-playerOnline PvPShared/Split | Screen PvPOnline | Co-opShared/Split Screen | Co-opCross-Platform Multiplayer Steam | Achievements Full controller | supportSteam Trading | Cards Steam Workshop Steam | Cloud Includes level | editorRemote Play | Together Requires agreement | to a | 3rd-party EULATabletop | Simulator EULA
719040,Single-playerOnline Co-opSteam | Achievements Steam Trading | Cards Steam Cloud Remote | Play on
952060,Single-playerOnline PvPFull | controller supportSteam | Trading Cards Steam | Cloud Remote Play | on Tablet Requires | agreement to | a 3rd-party | EULARESIDENT EVIL | 3 EULA
413150,Single-playerOnline Co-opLAN | Co-opSteam Achievements Full | controller supportSteam | Trading Cards Steam | Cloud Remote Play | on Phone Remote | Play on
794260,Single-playerOnline Co-opShared/Split | Screen Co-opSteam | Achievements Steam Trading | Cards Partial Controller | Support StatsRemote Play
377160,Single-playerSteam Achievements Full | controller supportSteam | Cloud Remote Play | on Phone Remote | Play on | Tablet Remote Play | on TVRequires | agreement to | a 3rd-party | EULAFallout 4
946430,Online PvPShared/Split | Screen PvPOnline | Co-opShared/Split Screen | Co-opCross-Platform Multiplayer Downloadable | Content In-App Purchases
242760,Single-playerOnline Co-opLAN | Co-opPartial Controller | Support Steam Cloud
291550,Single-playerOnline PvPShared/Split | Screen PvPOnline | Co-opShared/Split Screen | Co-opCross-Platform Multiplayer Steam | Achievements Full controller | supportSteam Trading | Cards Remote Play | on Phone Remote | Play on | Tablet Remote Play | on TVRemote | Play Together
620980,Single-playerSteam Leaderboards Requires | agreement to | a 3rd-party | EULABeat Saber
251570,Single-playerCross-Platform Multiplayer Steam | Achievements Full controller | supportSteam Trading | Cards Includes level | editorRemote Play | on Tablet Remote | Play on | TVRequires agreement | to a | 3rd-party EULA7 | Days to | Die EULA
105600,Single-playerOnline PvPOnline | Co-opSteam Achievements Full | controller supportSteam | Trading Cards Steam | Cloud Remote Play | on Phone Remote | Play on | Tablet Remote Play | on TV
780290,Single-playerOnline Co-opSteam | Trading Cards Steam | Workshop Steam Cloud Requires | agreement to | a 3rd-party | EULAGloomhaven EULA
1089980,Single-playerSteam Achievements Captions | availableRemote Play | on Phone Remote | Play on
435150,Single-playerOnline PvPShared/Split | Screen PvPOnline | Co-opShared/Split Screen | Co-opSteam Achievements Full | controller supportSteam | Trading Cards Captions | availableSteam Workshop Steam | Cloud Includes level | editorRemote Play | on Tablet Remote | Play on | TVRemote Play
1118010,Single-playerDownloadable Content Steam | Achievements Steam Trading | Cards Partial Controller | Support Steam Cloud StatsSteam | Leaderboards Incorporates 3rd-party | DRM: Denuvo | Anti-tamper5 different | PC within | a day | machine activation
648800,Single-playerOnline PvPOnline | Co-opSteam Achievements Steam | Cloud Remote Play | on Tablet Requires | agreement to | a 3rd-party | EULARaft EULA
550,Single-playerOnline PvPOnline | Co-opSteam Achievements Full | controller supportSteam | Trading Cards Captions | availableSteam Workshop Steam | Cloud Valve Anti-Cheat | enabledStats Includes Source | SDKCommentary availableRemote | Play on | Phone Remote Play | on Tablet Remote | Play on | TVRemote Play
1091500,
546560,Single-playerSteam Achievements Captions | availableSteam Workshop Includes | level editor
304390,Single-playerOnline PvPOnline | Co-opSteam Trading | Cards In-App Purchases Partial | Controller Support Incorporates | 3rd-party DRM: | Denuvo Anti-tamper5 | different PC | within a | day machine | activation limitRequires | 3rd-Party Account: Ubisoft | Account (Supports Linking | to Steam | Account)Requires agreement | to a
826630,Single-playerOnline PvPOnline | Co-opSteam Achievements Remote | Play on | TVRequires agreement | to a | 3rd-party EULAIron | Harvest EULA
613100,Single-playerSteam Achievements Full | controller supportSteam | Trading Cards Steam | Cloud Remote Play | on Tablet
1225330,Single-playerOnline PvPShared/Split | Screen PvPOnline | Co-opShared/Split Screen | Co-opSteam Achievements Full | controller supportIn-App | Purchases Steam Cloud Remote | Play Together Requires | agreement to | a 3rd-party | EULANBA 2K21
281990,Single-playerCross-Platform Multiplayer Steam | Achievements Steam Trading | Cards Steam Workshop Steam | Cloud Requires agreement | to a | 3rd-party EULAStellaris
703080,Single-playerSteam Achievements Steam | Trading Cards Steam | Workshop Steam Cloud Incorporates | 3rd-party DRM: | Denuvo Anti-tamperRequires | agreement to | a 3rd-party | EULAPlanet Zoo
261550,Single-playerOnline PvPRemote | Play on
107410,Single-playerOnline PvPLAN | PvPOnline Co-opLAN | Co-opSteam Achievements Steam | Trading Cards Captions | availableSteam Workshop Partial | Controller Support Steam | Leaderboards Includes level | editorRequires agreement | to a | 3rd-party EULAArma | 3 EULA
782330,Single-playerOnline PvPSteam | Achievements Steam Trading | Cards Partial Controller | Support Steam Cloud Remote | Play on | Phone Remote Play | on Tablet Incorporates | 3rd-party DRM: | Denuvo Requires 3rd-Party | Account: Bethesda.net (Supports Linking | to Steam | Account)Requires agreement | to a | 3rd-party EULADOOM | Eternal EULA
1213210,Single-playerOnline PvPSteam | Achievements Steam Workshop Steam | Cloud Includes level | editorRequires agreement | to a | 3rd-party EULACommand | & Conquer™ | Remastered Collection
